"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
532843,"FORTIS      ","B ","Q",97.4,98.5,97,97.3,97.3,97.9,366,13378,1307195,,"14-02-2014"
532845,"TGBHOTELS   ","B ","Q",57.95,57.95,50.15,51.7,50.5,51.45,77,4791,248346,,"14-02-2014"
532847,"HILTON MET  ","B ","Q",11.9,12.74,11.9,12.59,12.6,12,12,400,4858,,"14-02-2014"
532848,"DELTA CORP  ","B ","Q",92.1,94.85,87.65,93.7,93.7,91.3,7395,1279268,117153669,,"14-02-2014"
532850,"MIC ELECTRON","B ","Q",2.55,2.7,2.51,2.59,2.6,2.54,31,4567,11919,,"14-02-2014"
532851,"INSECTCID   ","B ","Q",239,240,234.9,235.3,235.4,235.15,372,2324,551319,,"14-02-2014"
532852,"MCD HOLDING ","B ","Q",33.55,34,32.35,32.65,32.65,34.05,432,12161,399608,,"14-02-2014"
532853,"ASAHI SONG  ","B ","Q",69.2,70.4,69.2,69.3,70.4,69.15,25,902,62953,,"14-02-2014"
532854,"NITIN FIRE  ","B ","Q",57.85,59.5,57,57.3,57.3,57.6,1128,105761,6137682,,"14-02-2014"
532855,"HARYA CAPFIN","B ","Q",13.1,13.1,13.1,13.1,13.1,13,3,114,1493,,"14-02-2014"
532856,"TIME TECHNO ","B ","Q",34.9,34.9,33.5,34.45,34.5,33.55,127,3916,134125,,"14-02-2014"
532857,"GLORY POLY  ","T ","Q",0.7,0.7,0.65,0.67,0.67,0.67,43,31152,20567,,"14-02-2014"
532859,"HGSL        ","B ","Q",595,607.95,589,602.05,602.05,596.95,445,2415,1444856,,"14-02-2014"
532864,"NELCAST     ","B ","Q",18.35,18.35,18,18,18,18,15,1266,22823,,"14-02-2014"
532865,"MEGHMANI    ","T ","Q",7.1,7.44,7,7.12,7.07,7.16,112,55621,395914,,"14-02-2014"
532866,"QUINTEGRA SO","T ","Q",0.46,0.46,0.46,0.46,0.46,0.48,6,300,138,,"14-02-2014"
532867,"V2RETAIL    ","T ","Q",8.42,8.42,8.42,8.42,8.42,8.02,30,13517,113813,,"14-02-2014"
532868,"DLF LIMITED ","A ","Q",142.7,145.15,141.35,144.45,144.45,142.7,9463,749254,107485816,,"14-02-2014"
532869,"TARMAT      ","B ","Q",9.95,9.95,9.95,9.95,9.95,9.5,1,15,149,,"14-02-2014"
532870,"ANKIT METAL ","B ","Q",7.66,8.2,7.66,7.99,7.99,7.85,103,15261,120539,,"14-02-2014"
532871,"CELESTIAL   ","B ","Q",16.8,17.1,16.5,16.6,16.6,16.7,57,2696,44749,,"14-02-2014"
532872,"SUNPHA ADV  ","B ","Q",154,156.2,153,154.8,154.8,153.2,1959,78949,12207336,,"14-02-2014"
532873,"HOUSING DEV ","A ","Q",41.9,41.95,39.25,40.4,40.4,41.5,8774,2004540,80839689,,"14-02-2014"
532874,"SURYACHAKRA ","B ","Q",1.32,1.43,1.3,1.32,1.31,1.37,197,98614,130957,,"14-02-2014"
532875,"ALLIED DIGIT","B ","Q",12.65,13.44,12.65,13.03,13,12.83,54,3961,51698,,"14-02-2014"
532876,"EVERONN     ","T ","Q",34.65,36.35,33.3,33.3,33.3,35,162,11641,392819,,"14-02-2014"
532877,"SIMPLEX PROJ","B ","Q",11.87,12.37,11.87,12.32,12.05,12.37,18,843,10121,,"14-02-2014"
532878,"ALPA LAB    ","T ","Q",11.02,11.02,11,11.02,11.02,10.5,20,3871,42657,,"14-02-2014"
532879,"SIR SHADI LA","B ","Q",20.75,20.75,20.75,20.75,20.75,21.7,2,57,1182,,"14-02-2014"
532880,"OMAXE LTD   ","B ","Q",124.45,124.6,124.05,124.15,124.3,124.2,2589,88689,11025092,,"14-02-2014"
532882,"OMNITECH    ","B ","Q",11.78,12.25,11.32,11.6,11.6,11.92,152,9004,105159,,"14-02-2014"
532883,"ZYLOG SYSTEM","B ","Q",11.44,11.78,11.1,11.37,11.45,11.27,168,24286,278566,,"14-02-2014"
